,name,NaN Count
172,sales_stock_monthly__vehiclegroup08__physical,157
173,sales_stock_monthly__vehiclegroup08__grossall,157
174,sales_stock_monthly__vehiclegroup08__netimporteranddealer,157
175,sales_stock_monthly__vehiclegroup09__physical,212
176,sales_stock_monthly__vehiclegroup09__grossall,212
177,sales_stock_monthly__vehiclegroup09__netimporteranddealer,212
178,sales_stock_monthly__vehiclegroup10__physical,157
179,sales_stock_monthly__vehiclegroup10__grossall,157
180,sales_stock_monthly__vehiclegroup10__netimporteranddealer,157
181,sales_stock_monthly__vehiclegroup11__physical,206
182,sales_stock_monthly__vehiclegroup11__grossall,206
183,sales_stock_monthly__vehiclegroup11__netimporteranddealer,206
184,sales_stock_monthly__vehiclegroup12__physical,157
185,sales_stock_monthly__vehiclegroup12__grossall,157
186,sales_stock_monthly__vehiclegroup12__netimporteranddealer,157
187,sales_stock_monthly__vehiclegroup13__physical,157
188,sales_stock_monthly__vehiclegroup13__grossall,157
189,sales_stock_monthly__vehiclegroup13__netimporteranddealer,157
190,sales_stock_monthly__vehiclegroup14__physical,162
191,sales_stock_monthly__vehiclegroup14__grossall,162
192,sales_stock_monthly__vehiclegroup14__netimporteranddealer,162
193,sales_stock_monthly__vehiclegroup15__physical,157
194,sales_stock_monthly__vehiclegroup15__grossall,157
195,sales_stock_monthly__vehiclegroup15__netimporteranddealer,157
196,sales_stock_monthly__vehiclegroup16__physical,158
197,sales_stock_monthly__vehiclegroup16__grossall,158
198,sales_stock_monthly__vehiclegroup16__netimporteranddealer,158
199,sales_stock_monthly__vehiclegroup17__physical,157
200,sales_stock_monthly__vehiclegroup17__grossall,157
201,sales_stock_monthly__vehiclegroup17__netimporteranddealer,157
202,sales_stock_monthly__vehiclegroup18__physical,157
203,sales_stock_monthly__vehiclegroup18__grossall,157
204,sales_stock_monthly__vehiclegroup18__netimporteranddealer,157
205,sales_stock_monthly__vehiclegroup19__physical,157
206,sales_stock_monthly__vehiclegroup19__grossall,157
207,sales_stock_monthly__vehiclegroup19__netimporteranddealer,157
208,sales_stock_monthly__vehiclegroup20__physical,195
209,sales_stock_monthly__vehiclegroup20__grossall,195
210,sales_stock_monthly__vehiclegroup20__netimporteranddealer,195
211,sales_stock_monthly__vehiclegroup21__physical,165
212,sales_stock_monthly__vehiclegroup21__grossall,165
213,sales_stock_monthly__vehiclegroup21__netimporteranddealer,165
214,sales_stock_monthly__vehiclegroup22__physical,165
215,sales_stock_monthly__vehiclegroup22__grossall,165
216,sales_stock_monthly__vehiclegroup22__netimporteranddealer,165
217,sales_stock_monthly__vehiclegroup23__physical,157
218,sales_stock_monthly__vehiclegroup23__grossall,157
219,sales_stock_monthly__vehiclegroup23__netimporteranddealer,157
220,sales_stock_monthly__vehiclegroup24__physical,157
221,sales_stock_monthly__vehiclegroup24__grossall,157
222,sales_stock_monthly__vehiclegroup24__netimporteranddealer,157
223,sales_stock_monthly__vehiclegroup25__physical,157
224,sales_stock_monthly__vehiclegroup25__grossall,157
225,sales_stock_monthly__vehiclegroup25__netimporteranddealer,157
226,sales_stock_monthly__vehiclegroup26__physical,157
227,sales_stock_monthly__vehiclegroup26__grossall,157
228,sales_stock_monthly__vehiclegroup26__netimporteranddealer,157
229,sales_stock_monthly__vehiclegroup27__physical,185
230,sales_stock_monthly__vehiclegroup27__grossall,185
231,sales_stock_monthly__vehiclegroup27__netimporteranddealer,185
232,sales_stock_monthly__vehiclegroup28__physical,157
233,sales_stock_monthly__vehiclegroup28__grossall,157
234,sales_stock_monthly__vehiclegroup28__netimporteranddealer,157
235,sales_stock_monthly__vehiclegroup29__physical,212
236,sales_stock_monthly__vehiclegroup29__grossall,212
237,sales_stock_monthly__vehiclegroup29__netimporteranddealer,212
238,sales_stock_monthly__vehiclegroup30__physical,157
239,sales_stock_monthly__vehiclegroup30__grossall,157
240,sales_stock_monthly__vehiclegroup30__netimporteranddealer,157
241,sales_stock_monthly__vehiclegroup31__physical,184
242,sales_stock_monthly__vehiclegroup31__grossall,184
243,sales_stock_monthly__vehiclegroup31__netimporteranddealer,184
244,sales_stock_monthly__vehiclegroup32__physical,206
245,sales_stock_monthly__vehiclegroup32__grossall,206
246,sales_stock_monthly__vehiclegroup32__netimporteranddealer,206
247,sales_stock_monthly__vehiclegroup33__physical,157
248,sales_stock_monthly__vehiclegroup33__grossall,157
249,sales_stock_monthly__vehiclegroup33__netimporteranddealer,157
250,sales_stock_monthly__vehiclegroup34__physical,157
251,sales_stock_monthly__vehiclegroup34__grossall,157
252,sales_stock_monthly__vehiclegroup34__netimporteranddealer,157
253,sales_stock_monthly__vehiclegroup35__physical,183
254,sales_stock_monthly__vehiclegroup35__grossall,183
255,sales_stock_monthly__vehiclegroup35__netimporteranddealer,183
256,sales_stock_monthly__vehiclegroup36__physical,162
257,sales_stock_monthly__vehiclegroup36__grossall,162
258,sales_stock_monthly__vehiclegroup36__netimporteranddealer,162
259,sales_stock_monthly__vehiclegroup37__physical,157
260,sales_stock_monthly__vehiclegroup37__grossall,157
261,sales_stock_monthly__vehiclegroup37__netimporteranddealer,157
262,sales_stock_monthly__vehiclegroup38__physical,158
263,sales_stock_monthly__vehiclegroup38__grossall,158
264,sales_stock_monthly__vehiclegroup38__netimporteranddealer,158
265,sales_stock_monthly__vehiclegroup39__physical,178
266,sales_stock_monthly__vehiclegroup39__grossall,178
267,sales_stock_monthly__vehiclegroup39__netimporteranddealer,178
268,sales_stock_monthly__vehiclegroup40__physical,193
269,sales_stock_monthly__vehiclegroup40__grossall,193
270,sales_stock_monthly__vehiclegroup40__netimporteranddealer,193
271,sales_stock_monthly__vehiclegroup41__physical,219
272,sales_stock_monthly__vehiclegroup41__grossall,219
273,sales_stock_monthly__vehiclegroup41__netimporteranddealer,219
274,sales_stock_monthly__vehiclegroup42__physical,176
275,sales_stock_monthly__vehiclegroup42__grossall,176
276,sales_stock_monthly__vehiclegroup42__netimporteranddealer,176
277,sales_stock_monthly__vehiclegroup43__physical,157
278,sales_stock_monthly__vehiclegroup43__grossall,157
279,sales_stock_monthly__vehiclegroup43__netimporteranddealer,157
280,sales_stock_monthly__vehiclegroup44__physical,198
281,sales_stock_monthly__vehiclegroup44__grossall,198
282,sales_stock_monthly__vehiclegroup44__netimporteranddealer,198
283,sales_stock_monthly__vehiclegroup45__physical,194
284,sales_stock_monthly__vehiclegroup45__grossall,194
285,sales_stock_monthly__vehiclegroup45__netimporteranddealer,194
286,sales_stock_monthly__vehiclegroup46__physical,157
287,sales_stock_monthly__vehiclegroup46__grossall,157
288,sales_stock_monthly__vehiclegroup46__netimporteranddealer,157
289,sales_stock_monthly__vehiclegroup47__physical,235
290,sales_stock_monthly__vehiclegroup47__grossall,235
291,sales_stock_monthly__vehiclegroup47__netimporteranddealer,235
292,sales_stock_monthly__vehiclegroup48__physical,195
293,sales_stock_monthly__vehiclegroup48__grossall,195
294,sales_stock_monthly__vehiclegroup48__netimporteranddealer,195
295,sales_stock_monthly__vehiclegroup50__physical,194
296,sales_stock_monthly__vehiclegroup50__grossall,194
297,sales_stock_monthly__vehiclegroup50__netimporteranddealer,194
298,sales_stock_monthly__vehiclegroup51__physical,165
299,sales_stock_monthly__vehiclegroup51__grossall,165
300,sales_stock_monthly__vehiclegroup51__netimporteranddealer,165
301,sales_stock_monthly__vehiclegroup53__physical,196
302,sales_stock_monthly__vehiclegroup53__grossall,196
303,sales_stock_monthly__vehiclegroup53__netimporteranddealer,196
304,sales_stock_monthly__vehiclegroup54__physical,165
305,sales_stock_monthly__vehiclegroup54__grossall,165
306,sales_stock_monthly__vehiclegroup54__netimporteranddealer,165
307,sales_stock_monthly__vehiclegroup56__physical,158
308,sales_stock_monthly__vehiclegroup56__grossall,158
309,sales_stock_monthly__vehiclegroup56__netimporteranddealer,158
310,sales_stock_monthly__vehiclegroup57__physical,218
311,sales_stock_monthly__vehiclegroup57__grossall,218
312,sales_stock_monthly__vehiclegroup57__netimporteranddealer,218
313,sales_stock_monthly__vehiclegroup58__physical,201
314,sales_stock_monthly__vehiclegroup58__grossall,201
315,sales_stock_monthly__vehiclegroup58__netimporteranddealer,201
316,sales_stock_monthly__vehiclegroup59__physical,174
317,sales_stock_monthly__vehiclegroup59__grossall,174
318,sales_stock_monthly__vehiclegroup59__netimporteranddealer,174
319,sales_stock_monthly__vehiclegroup60__physical,157
320,sales_stock_monthly__vehiclegroup60__grossall,157
321,sales_stock_monthly__vehiclegroup60__netimporteranddealer,157
322,sales_stock_monthly__vehiclegroup61__physical,232
323,sales_stock_monthly__vehiclegroup61__grossall,232
324,sales_stock_monthly__vehiclegroup61__netimporteranddealer,232
325,sales_stock_monthly__vehiclegroup62__physical,200
326,sales_stock_monthly__vehiclegroup62__grossall,200
327,sales_stock_monthly__vehiclegroup62__netimporteranddealer,200
328,sales_stock_monthly__vehiclegroup63__physical,157
329,sales_stock_monthly__vehiclegroup63__grossall,157
330,sales_stock_monthly__vehiclegroup63__netimporteranddealer,157
331,sales_stock_monthly__vehiclegroup64__physical,206
332,sales_stock_monthly__vehiclegroup64__grossall,206
333,sales_stock_monthly__vehiclegroup64__netimporteranddealer,206
334,customer_vehicle_relationships__vehiclegroup04__terminated_cars,67
335,customer_vehicle_relationships__vehiclegroup04__active_cars,67
336,customer_vehicle_relationships__vehiclegroup05__terminated_cars,167
337,customer_vehicle_relationships__vehiclegroup05__active_cars,167
338,customer_vehicle_relationships__vehiclegroup06__terminated_cars,110
339,customer_vehicle_relationships__vehiclegroup06__active_cars,110
340,customer_vehicle_relationships__vehiclegroup09__terminated_cars,184
341,customer_vehicle_relationships__vehiclegroup09__active_cars,184
342,customer_vehicle_relationships__vehiclegroup10__terminated_cars,76
343,customer_vehicle_relationships__vehiclegroup10__active_cars,76
344,customer_vehicle_relationships__vehiclegroup11__terminated_cars,133
345,customer_vehicle_relationships__vehiclegroup11__active_cars,133
346,customer_vehicle_relationships__vehiclegroup12__terminated_cars,67
347,customer_vehicle_relationships__vehiclegroup12__active_cars,67
348,customer_vehicle_relationships__vehiclegroup19__terminated_cars,73
349,customer_vehicle_relationships__vehiclegroup19__active_cars,73
350,customer_vehicle_relationships__vehiclegroup20__terminated_cars,194
351,customer_vehicle_relationships__vehiclegroup20__active_cars,194
352,customer_vehicle_relationships__vehiclegroup21__terminated_cars,167
353,customer_vehicle_relationships__vehiclegroup21__active_cars,167
354,customer_vehicle_relationships__vehiclegroup22__terminated_cars,167
355,customer_vehicle_relationships__vehiclegroup22__active_cars,167
356,customer_vehicle_relationships__vehiclegroup23__terminated_cars,122
357,customer_vehicle_relationships__vehiclegroup23__active_cars,122
358,customer_vehicle_relationships__vehiclegroup24__terminated_cars,110
359,customer_vehicle_relationships__vehiclegroup24__active_cars,110
360,customer_vehicle_relationships__vehiclegroup25__terminated_cars,111
361,customer_vehicle_relationships__vehiclegroup25__active_cars,111
362,customer_vehicle_relationships__vehiclegroup27__terminated_cars,171
363,customer_vehicle_relationships__vehiclegroup27__active_cars,171
364,customer_vehicle_relationships__vehiclegroup29__terminated_cars,184
365,customer_vehicle_relationships__vehiclegroup29__active_cars,184
366,customer_vehicle_relationships__vehiclegroup30__terminated_cars,76
367,customer_vehicle_relationships__vehiclegroup30__active_cars,76
368,customer_vehicle_relationships__vehiclegroup31__terminated_cars,171
369,customer_vehicle_relationships__vehiclegroup31__active_cars,171
370,customer_vehicle_relationships__vehiclegroup32__terminated_cars,133
371,customer_vehicle_relationships__vehiclegroup32__active_cars,133
372,customer_vehicle_relationships__vehiclegroup33__terminated_cars,67
373,customer_vehicle_relationships__vehiclegroup33__active_cars,67
